timestamp,symbol,timeframe,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,psar_value,psar_signal,stochastic_k,stochastic_d,k_in_range,psar_signal_match,candle_color,candle_type,candle_conditions_met,alert_triggered,scan_id,scan_name,condition_id,kline_start,kline_end,signaldirection,processing_time,error_message
2025-10-29 13:35:00,ADANIPORTS25NOV1460CE,5minute,45.95,47.05,45.4,47.0,0,44.92,47.05,44.92,46.35,43.9,0,55.86,19.13,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 13:41:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-29 14:05:00,ADANIPORTS25NOV1460CE,5minute,45.0,45.2,44.05,45.15,0,45.34,45.34,44.05,44.85,47.49,0,66.61,26.59,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 14:11:07,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-29 14:15:00,ADANIPORTS25NOV1460CE,5minute,44.6,44.6,43.55,43.6,0,45.01,45.01,43.55,44.09,47.1,0,69.98,29.36,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 14:21:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-29 14:25:00,ADANIPORTS25NOV1460CE,5minute,44.95,44.95,44.45,44.5,0,44.33,44.95,44.33,44.71,46.52,0,73.46,32.26,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 14:31:05,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-29 14:35:00,ADANIPORTS25NOV1460CE,5minute,44.1,44.5,43.7,44.5,0,44.43,44.5,43.7,44.2,45.84,0,76.86,35.3,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 14:41:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-29 15:05:00,ADANIPORTS25NOV1460CE,5minute,43.2,43.2,41.55,42.05,0,43.01,43.2,41.55,42.5,0,0,0,0,False,False,red,0,False,False,0,Pre-check log,0,0,0,0,2025-10-29 15:11:01,Candle received - not yet evaluated for conditions
2025-10-29 15:05:00,ADANIPORTS25NOV1460CE,5minute,43.2,43.2,41.55,42.05,0,43.01,43.2,41.55,42.5,43.81,0,0.0,0.0,False,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 15:11:01,"K value 0.00 out of range [10, 100]"
