timestamp,open,high,low,close,volume
2025-10-13 09:15:00,48.2,48.4,40.5,44.8,2850
2025-10-13 09:20:00,44.8,44.8,43.6,43.75,950
2025-10-13 09:25:00,43.75,44.9,42.75,44.1,11400
2025-10-13 09:30:00,44.1,44.1,40.6,42.55,13775
2025-10-13 09:35:00,42.55,44.25,42.55,44.25,8550
2025-10-13 09:40:00,44.25,45.0,44.25,44.95,7600
2025-10-13 09:45:00,44.95,45.2,43.95,44.85,6650
2025-10-13 09:50:00,44.85,46.0,44.65,45.05,2375
2025-10-13 09:55:00,45.05,45.8,45.05,45.8,475
2025-10-13 10:00:00,45.8,45.8,44.95,44.95,4275
2025-10-13 10:05:00,44.95,48.75,44.95,48.0,4750
2025-10-13 10:10:00,48.0,50.6,48.0,50.6,1425
2025-10-13 10:15:00,50.6,50.6,49.1,49.5,3800
2025-10-13 10:20:00,49.5,49.5,48.75,49.0,1425
2025-10-13 10:25:00,49.0,49.5,49.0,49.4,950
2025-10-13 10:30:00,49.95,50.55,49.15,49.15,4750
2025-10-13 10:35:00,49.15,50.85,49.15,50.85,950
2025-10-13 10:40:00,50.85,51.8,50.85,51.25,5225
2025-10-13 10:45:00,51.25,54.0,51.0,53.65,45600
2025-10-13 10:50:00,53.65,53.65,51.85,51.85,3325
2025-10-13 10:55:00,51.85,53.5,51.85,53.5,475
2025-10-13 11:00:00,54.75,61.5,54.75,61.35,12825
2025-10-13 11:05:00,61.35,61.35,57.7,59.55,7125
2025-10-13 11:10:00,60.6,65.4,60.6,63.3,10925
2025-10-13 11:15:00,63.3,63.3,63.3,63.3,0
2025-10-13 11:20:00,63.3,63.3,59.5,59.5,1900
2025-10-13 11:25:00,59.5,59.5,59.5,59.5,0
2025-10-13 11:30:00,59.5,59.5,59.5,59.5,0
2025-10-13 11:35:00,59.5,60.8,59.5,60.25,1900
2025-10-13 11:40:00,60.25,60.25,59.0,59.5,2850
2025-10-13 11:45:00,59.5,61.15,59.45,61.15,1900
2025-10-13 11:50:00,61.15,61.7,61.05,61.7,1425
2025-10-13 11:55:00,61.7,61.7,61.7,61.7,0
2025-10-13 12:00:00,61.7,61.7,61.7,61.7,0
2025-10-13 12:05:00,61.7,61.7,60.2,60.2,950
2025-10-13 12:10:00,60.2,60.2,60.2,60.2,0
2025-10-13 12:15:00,60.2,62.95,60.2,62.95,475
2025-10-13 12:20:00,62.95,62.95,60.85,60.85,1425
2025-10-13 12:25:00,61.0,61.0,61.0,61.0,4750
2025-10-13 12:30:00,61.0,61.5,61.0,61.5,1425
2025-10-13 12:35:00,61.5,61.5,61.5,61.5,0
2025-10-13 12:40:00,61.5,61.5,61.5,61.5,0
2025-10-13 12:45:00,61.5,70.05,61.5,70.05,15675
2025-10-13 12:50:00,70.05,70.05,66.4,67.0,3800
2025-10-13 12:55:00,67.0,68.0,65.85,66.05,4275
2025-10-13 13:00:00,66.05,66.05,61.65,63.05,7125
2025-10-13 13:05:00,63.05,64.25,62.05,62.05,11875
2025-10-13 13:10:00,62.05,63.9,62.05,63.9,950
2025-10-13 13:15:00,63.9,64.15,63.1,63.1,1425
2025-10-13 13:20:00,63.1,63.1,62.0,62.0,2850
2025-10-13 13:25:00,62.0,62.0,61.8,61.9,950
2025-10-13 13:30:00,61.9,61.9,61.8,61.85,2375
2025-10-13 13:35:00,61.85,64.5,61.85,64.25,4750
2025-10-13 13:40:00,64.25,64.25,63.3,63.3,1900
2025-10-13 13:45:00,63.3,64.15,63.3,64.15,475
2025-10-13 13:50:00,64.15,64.15,63.5,64.0,950
2025-10-13 13:55:00,64.0,64.25,64.0,64.25,475
2025-10-13 14:00:00,64.25,64.25,64.25,64.25,0
2025-10-13 14:05:00,64.25,64.25,64.25,64.25,0
2025-10-13 14:10:00,64.25,65.95,64.25,65.95,3325
2025-10-13 14:15:00,65.95,66.0,65.2,65.2,1900
2025-10-13 14:20:00,65.2,65.3,64.9,64.9,1900
2025-10-13 14:25:00,64.9,72.7,64.9,72.7,13775
2025-10-13 14:30:00,72.7,72.7,70.85,70.85,475
2025-10-13 14:35:00,70.85,70.85,70.05,70.05,950
2025-10-13 14:40:00,70.05,70.05,70.05,70.05,0
2025-10-13 14:45:00,70.05,71.25,70.05,70.75,950
2025-10-13 14:50:00,70.75,71.0,70.75,71.0,1900
2025-10-13 14:55:00,71.0,71.0,71.0,71.0,0
2025-10-13 15:00:00,71.0,71.0,71.0,71.0,0
2025-10-13 15:05:00,71.0,71.0,71.0,71.0,0
2025-10-13 15:10:00,71.0,71.0,68.8,68.8,475
2025-10-13 15:15:00,68.8,70.0,68.8,70.0,950
2025-10-13 15:20:00,69.85,69.85,69.35,69.45,2375
2025-10-13 15:25:00,69.45,69.45,68.1,68.1,2850
