timestamp,open,high,low,close,volume
2025-10-13 09:15:00,16.15,17.4,15.75,15.75,5225
2025-10-13 09:16:00,15.75,15.75,13.45,13.5,16150
2025-10-13 09:17:00,13.5,15.45,13.5,15.45,9025
2025-10-13 09:18:00,15.45,16.15,15.45,16.0,7600
2025-10-13 09:19:00,16.0,16.0,15.5,15.7,8075
2025-10-13 09:20:00,15.7,15.7,15.5,15.5,0
2025-10-13 09:21:00,15.5,15.5,15.0,15.0,2375
2025-10-13 09:22:00,15.0,15.6,15.0,15.6,1425
2025-10-13 09:23:00,15.6,16.05,15.5,15.5,1900
2025-10-13 09:24:00,15.5,15.55,15.0,15.55,4275
2025-10-13 09:25:00,15.55,15.55,15.0,15.0,3800
2025-10-13 09:26:00,15.0,15.05,14.7,14.85,5700
2025-10-13 09:27:00,14.85,15.8,14.85,15.65,5700
2025-10-13 09:28:00,15.65,15.8,15.35,15.35,12825
2025-10-13 09:29:00,15.35,15.35,15.0,15.15,4275
2025-10-13 09:30:00,15.15,15.15,14.4,14.4,11400
2025-10-13 09:31:00,14.25,14.25,13.9,14.2,2375
2025-10-13 09:32:00,14.2,14.55,13.9,14.55,6650
2025-10-13 09:33:00,14.55,14.7,14.55,14.55,9025
2025-10-13 09:34:00,14.55,14.65,14.35,14.65,2375
2025-10-13 09:35:00,14.65,14.65,14.55,14.55,950
2025-10-13 09:36:00,14.55,14.55,14.5,14.55,2850
2025-10-13 09:37:00,14.7,15.0,14.7,15.0,10450
2025-10-13 09:38:00,15.0,15.35,14.9,15.25,3800
2025-10-13 09:39:00,15.25,15.35,15.25,15.35,475
2025-10-13 09:40:00,15.35,15.5,15.35,15.5,3325
2025-10-13 09:41:00,15.9,16.0,15.4,15.55,2375
2025-10-13 09:42:00,15.55,15.55,15.4,15.4,1425
2025-10-13 09:43:00,15.0,15.0,14.65,14.8,2850
2025-10-13 09:44:00,14.8,14.8,14.8,14.8,0
2025-10-13 09:45:00,14.8,15.45,14.8,15.45,0
2025-10-13 09:46:00,15.45,16.1,15.45,15.7,15200
2025-10-13 09:47:00,15.7,15.7,15.7,15.7,0
2025-10-13 09:48:00,15.7,16.1,15.7,16.1,475
2025-10-13 09:49:00,16.1,16.1,16.1,16.1,0
2025-10-13 09:50:00,16.25,16.25,15.8,15.9,5225
2025-10-13 09:51:00,15.9,16.1,15.7,16.1,2850
2025-10-13 09:52:00,16.1,16.4,16.0,16.0,2375
2025-10-13 09:53:00,16.0,16.0,15.5,15.65,3800
2025-10-13 09:54:00,15.65,15.65,15.65,15.65,1425
2025-10-13 09:55:00,15.65,15.65,15.65,15.65,0
2025-10-13 09:56:00,15.65,16.0,15.65,16.0,950
2025-10-13 09:57:00,16.0,16.0,15.95,15.95,950
2025-10-13 09:58:00,15.95,16.1,15.6,15.8,7125
2025-10-13 09:59:00,15.8,16.0,15.8,16.0,1900
2025-10-13 10:00:00,16.0,16.0,15.55,15.55,950
2025-10-13 10:01:00,15.55,15.6,15.55,15.6,11400
2025-10-13 10:02:00,15.6,15.7,15.45,15.7,7125
2025-10-13 10:03:00,15.55,16.2,15.55,16.2,1900
2025-10-13 10:04:00,16.2,16.55,16.0,16.55,4275
2025-10-13 10:05:00,16.55,16.9,16.55,16.9,2850
2025-10-13 10:06:00,16.9,16.9,16.4,16.6,7600
2025-10-13 10:07:00,16.6,17.95,16.35,17.5,3325
2025-10-13 10:08:00,17.5,18.0,17.15,17.3,46550
2025-10-13 10:09:00,17.3,17.35,17.05,17.05,3325
2025-10-13 10:10:00,17.05,17.5,17.05,17.4,2375
2025-10-13 10:11:00,17.4,17.7,17.4,17.5,8550
2025-10-13 10:12:00,17.55,18.0,17.55,17.9,11875
2025-10-13 10:13:00,17.9,18.4,17.9,18.3,5225
2025-10-13 10:14:00,18.3,18.75,18.2,18.75,3800
2025-10-13 10:15:00,18.65,18.75,18.0,18.0,6650
2025-10-13 10:16:00,18.0,18.45,18.0,18.0,3800
2025-10-13 10:17:00,18.0,18.1,17.75,18.0,3800
2025-10-13 10:18:00,18.0,18.1,17.75,18.1,1900
2025-10-13 10:19:00,18.1,18.15,18.1,18.15,3800
2025-10-13 10:20:00,17.85,17.9,17.4,17.4,5225
2025-10-13 10:21:00,17.4,17.4,17.2,17.4,8075
2025-10-13 10:22:00,17.4,17.4,17.4,17.4,0
2025-10-13 10:23:00,17.4,17.55,17.4,17.55,3800
2025-10-13 10:24:00,17.55,17.55,17.4,17.4,1900
2025-10-13 10:25:00,17.3,17.3,16.95,16.95,950
2025-10-13 10:26:00,16.95,17.35,16.95,17.35,1425
2025-10-13 10:27:00,17.35,17.75,17.35,17.75,475
2025-10-13 10:28:00,17.75,17.75,17.75,17.75,475
2025-10-13 10:29:00,17.75,17.75,17.75,17.75,0
2025-10-13 10:30:00,17.75,18.1,17.75,18.05,1425
2025-10-13 10:31:00,18.05,18.1,17.8,18.1,3800
2025-10-13 10:32:00,18.1,18.1,17.85,17.9,1900
2025-10-13 10:33:00,17.9,17.9,17.65,17.65,950
2025-10-13 10:34:00,17.65,17.9,17.65,17.9,1425
2025-10-13 10:35:00,17.55,17.55,17.55,17.55,475
2025-10-13 10:36:00,17.7,18.05,17.7,18.05,1900
2025-10-13 10:37:00,18.05,18.05,18.0,18.05,2375
2025-10-13 10:38:00,18.15,18.15,18.15,18.15,4750
2025-10-13 10:39:00,18.15,18.45,18.15,18.4,475
2025-10-13 10:40:00,18.4,18.55,18.25,18.55,5225
2025-10-13 10:41:00,18.55,18.75,18.45,18.45,1900
2025-10-13 10:42:00,18.45,18.9,18.45,18.65,5700
2025-10-13 10:43:00,18.9,19.0,18.9,18.95,4750
2025-10-13 10:44:00,18.95,19.0,18.8,18.8,3800
2025-10-13 10:45:00,18.8,19.1,18.5,18.5,7125
2025-10-13 10:46:00,18.5,18.6,18.4,18.45,3325
2025-10-13 10:47:00,18.45,18.9,18.45,18.9,0
2025-10-13 10:48:00,18.9,20.0,18.9,19.4,12825
2025-10-13 10:49:00,19.4,20.0,19.4,20.0,12350
2025-10-13 10:50:00,20.0,20.1,19.85,19.85,1900
2025-10-13 10:51:00,19.85,19.95,19.65,19.65,5225
2025-10-13 10:52:00,19.65,19.65,19.15,19.3,1900
2025-10-13 10:53:00,19.3,19.6,19.3,19.4,5225
2025-10-13 10:54:00,19.4,19.4,19.0,19.3,19950
2025-10-13 10:55:00,19.3,19.6,19.3,19.55,475
2025-10-13 10:56:00,19.55,19.8,19.55,19.8,2375
2025-10-13 10:57:00,19.8,19.8,19.6,19.8,3800
2025-10-13 10:58:00,19.8,19.95,19.65,19.95,4750
2025-10-13 10:59:00,19.95,20.25,19.85,20.25,3800
2025-10-13 11:00:00,20.25,22.05,20.0,22.05,91675
2025-10-13 11:01:00,22.0,23.9,21.9,23.7,83600
2025-10-13 11:02:00,23.7,24.65,23.35,24.5,62700
2025-10-13 11:03:00,24.5,24.5,23.45,23.85,35150
2025-10-13 11:04:00,23.85,24.3,23.85,24.2,43700
2025-10-13 11:05:00,24.2,24.2,22.85,22.9,31825
2025-10-13 11:06:00,23.05,23.4,22.35,23.25,41325
2025-10-13 11:07:00,23.25,23.25,22.9,23.05,12825
2025-10-13 11:08:00,23.05,23.35,22.65,22.7,18525
2025-10-13 11:09:00,22.7,23.65,22.25,23.6,34200
2025-10-13 11:10:00,23.65,25.0,23.65,24.85,127300
2025-10-13 11:11:00,24.9,27.0,24.75,26.5,123025
2025-10-13 11:12:00,26.8,27.3,25.55,25.85,111150
2025-10-13 11:13:00,25.85,26.3,25.5,25.95,30875
2025-10-13 11:14:00,25.85,25.9,25.1,25.1,30875
2025-10-13 11:15:00,25.1,25.65,25.1,25.65,37525
2025-10-13 11:16:00,25.65,25.65,24.65,25.05,55575
2025-10-13 11:17:00,25.05,25.2,24.65,24.85,33250
2025-10-13 11:18:00,24.85,24.85,23.9,24.3,45125
2025-10-13 11:19:00,24.3,24.3,23.35,23.95,44650
2025-10-13 11:20:00,24.3,24.4,23.9,23.9,27075
2025-10-13 11:21:00,23.9,24.2,23.8,24.2,32775
2025-10-13 11:22:00,24.2,24.2,23.35,23.4,36575
2025-10-13 11:23:00,23.4,23.55,23.0,23.2,35625
2025-10-13 11:24:00,23.2,23.4,22.55,22.55,39900
2025-10-13 11:25:00,22.55,22.6,22.35,22.55,19000
2025-10-13 11:26:00,22.55,24.1,22.55,24.1,39425
2025-10-13 11:27:00,24.15,24.45,23.9,23.9,38000
2025-10-13 11:28:00,23.9,24.0,23.7,23.75,15200
2025-10-13 11:29:00,23.75,24.25,23.45,24.25,10925
2025-10-13 11:30:00,24.25,24.7,24.1,24.7,28975
2025-10-13 11:31:00,24.7,24.8,24.35,24.45,19000
2025-10-13 11:32:00,24.45,24.6,24.35,24.6,7125
2025-10-13 11:33:00,24.6,24.6,24.3,24.3,10925
2025-10-13 11:34:00,24.2,24.45,24.0,24.45,7125
2025-10-13 11:35:00,24.45,24.6,24.15,24.5,18525
2025-10-13 11:36:00,24.5,24.5,23.75,24.3,15200
2025-10-13 11:37:00,24.3,24.5,23.9,23.95,2375
