timestamp,symbol,timeframe,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,psar_value,psar_signal,stochastic_k,stochastic_d,k_in_range,psar_signal_match,candle_color,candle_type,candle_conditions_met,alert_triggered,scan_id,scan_name,condition_id,kline_start,kline_end,signaldirection,processing_time,error_message
2025-10-30 13:37:00,HDFCBANK25NOV1025CE,2minute,9.55,9.55,9.55,9.55,0,9.47,9.55,9.47,9.55,9.7,0,5.61,8.91,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 13:40:13,"K value 5.614669919405959 out of range [10, 100]"
2025-10-30 13:53:00,HDFCBANK25NOV1025CE,2minute,9.8,9.8,9.65,9.65,0,9.72,9.8,9.65,9.72,9.42,0,7.15,7.44,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 13:56:20,"K value 7.151110490329288 out of range [10, 100]"
2025-10-30 14:01:00,HDFCBANK25NOV1025CE,2minute,9.3,9.3,9.3,9.3,0,9.5,9.5,9.3,9.3,9.75,0,7.7,7.01,False,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 14:04:08,"K value 7.6972643364831335 out of range [10, 100]"
2025-10-30 14:17:00,HDFCBANK25NOV1025CE,2minute,9.3,9.45,9.2,9.45,0,9.42,9.45,9.2,9.35,9.6,0,8.5,6.53,False,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 14:20:15,"K value 8.497621109049676 out of range [10, 100]"
2025-11-03 09:15:00,HDFCBANK25NOV1025CE,2minute,6.15,6.15,5.0,5.0,0,6.13,6.15,5.0,5.58,6.2,-1,17.45,15.03,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:18:33,"PSAR signal mismatch: expected 1, got -1.0"
2025-11-03 09:17:00,HDFCBANK25NOV1025CE,2minute,5.0,5.15,5.0,5.15,0,5.85,5.85,5.0,5.08,6.15,0,17.37,15.08,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:20:39,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:19:00,HDFCBANK25NOV1025CE,2minute,5.15,5.15,4.95,4.95,0,5.46,5.46,4.95,5.05,6.15,0,17.07,15.12,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:22:40,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:21:00,HDFCBANK25NOV1025CE,2minute,4.95,4.95,4.9,4.9,0,5.26,5.26,4.9,4.93,6.03,0,16.74,15.16,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:24:29,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:23:00,HDFCBANK25NOV1025CE,2minute,4.9,4.95,4.75,4.8,0,5.09,5.09,4.75,4.85,5.86,0,16.48,15.2,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:26:35,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:27:00,HDFCBANK25NOV1025CE,2minute,4.85,5.05,4.85,4.95,0,4.89,5.05,4.85,4.92,5.4,0,15.94,15.25,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:30:44,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:29:00,HDFCBANK25NOV1025CE,2minute,4.9,5.0,4.9,4.9,0,4.91,5.0,4.9,4.93,5.23,0,15.7,15.26,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:32:55,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:31:00,HDFCBANK25NOV1025CE,2minute,4.9,4.9,4.8,4.8,0,4.92,4.92,4.8,4.85,5.1,0,15.43,15.28,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:34:59,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:33:00,HDFCBANK25NOV1025CE,2minute,4.8,4.8,4.65,4.75,0,4.88,4.88,4.65,4.75,5.0,0,15.17,15.29,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:36:48,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:35:00,HDFCBANK25NOV1025CE,2minute,4.75,4.9,4.75,4.9,0,4.82,4.9,4.75,4.82,4.65,1,14.99,15.3,True,True,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:38:54,
2025-11-03 09:37:00,HDFCBANK25NOV1025CE,2minute,4.9,4.95,4.85,4.95,0,4.82,4.95,4.82,4.91,4.65,0,14.85,15.3,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:41:05,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:39:00,HDFCBANK25NOV1025CE,2minute,4.95,5.35,4.95,5.35,0,4.87,5.35,4.87,5.15,4.68,0,14.87,15.31,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:42:59,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:43:00,HDFCBANK25NOV1025CE,2minute,5.35,5.35,5.35,5.35,0,5.18,5.35,5.18,5.35,4.87,0,14.84,15.34,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:45:15,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:43:00,HDFCBANK25NOV1025CE,2minute,5.35,5.35,5.35,5.35,0,5.18,5.35,5.18,5.35,4.87,0,14.84,15.34,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:46:44,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:45:00,HDFCBANK25NOV1025CE,2minute,5.35,5.9,5.35,5.9,0,5.26,5.9,5.26,5.62,4.94,0,14.91,15.36,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:49:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:49:00,HDFCBANK25NOV1025CE,2minute,5.95,5.95,5.7,5.7,0,5.68,5.95,5.68,5.82,5.35,0,14.94,15.4,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:51:21,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:51:00,HDFCBANK25NOV1025CE,2minute,5.5,5.65,5.5,5.65,0,5.7,5.7,5.5,5.57,6.0,-1,14.81,15.41,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:53:14,"PSAR signal mismatch: expected 1, got -1.0"
2025-11-03 09:51:00,HDFCBANK25NOV1025CE,2minute,5.5,5.65,5.5,5.65,0,5.7,5.7,5.5,5.57,6.0,-1,14.81,15.41,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:54:45,"PSAR signal mismatch: expected 1, got -1.0"
2025-11-03 09:53:00,HDFCBANK25NOV1025CE,2minute,5.65,5.65,5.6,5.6,0,5.64,5.65,5.6,5.62,5.98,0,14.81,15.43,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:56:57,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:55:00,HDFCBANK25NOV1025CE,2minute,5.6,5.65,5.6,5.65,0,5.63,5.65,5.6,5.62,5.95,0,14.77,15.44,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:58:56,"PSAR signal mismatch: expected 1, got 0.0"
