timestamp,symbol,timeframe,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,psar_value,psar_signal,stochastic_k,stochastic_d,k_in_range,psar_signal_match,candle_color,candle_type,candle_conditions_met,alert_triggered,scan_id,scan_name,condition_id,kline_start,kline_end,signaldirection,processing_time,error_message
2025-10-30 09:39:00,BANKNIFTY25NOV53600PE,2minute,29.7,30.15,29.7,30.15,0,31.7,31.7,29.7,29.92,33.75,0,0.0,0.0,False,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 09:42:01,"K value 0.0 out of range [10, 100]"
2025-10-30 09:55:00,BANKNIFTY25NOV53600PE,2minute,34.7,34.7,33.05,33.05,0,33.23,34.7,33.05,33.88,27.72,0,4.39,0.22,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 09:58:12,"K value 4.385964912280702 out of range [10, 100]"
2025-10-30 11:29:00,BANKNIFTY25NOV53600PE,2minute,28.75,28.75,28.75,28.75,0,28.76,28.76,28.75,28.75,30.58,0,35.61,22.04,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 11:32:06,"PSAR signal mismatch: expected 1, got 0.0"
