timestamp,symbol,timeframe,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,psar_value,psar_signal,stochastic_k,stochastic_d,k_in_range,psar_signal_match,candle_color,candle_type,candle_conditions_met,alert_triggered,scan_id,scan_name,condition_id,kline_start,kline_end,signaldirection,processing_time,error_message
2025-10-29 13:33:00,ADANIPORTS25NOV1400PE,2minute,14.55,14.55,14.05,14.05,0,14.54,14.55,14.05,14.3,14.7,-1,7.81,11.57,False,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 13:36:12,"K value 7.808386386873268 out of range [10, 100]"
2025-10-29 13:59:00,ADANIPORTS25NOV1400PE,2minute,14.55,14.8,14.3,14.3,0,14.06,14.8,14.06,14.49,13.7,0,4.11,10.34,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 14:02:02,"K value 4.10514621708137 out of range [10, 100]"
2025-10-29 14:33:00,ADANIPORTS25NOV1400PE,2minute,13.9,14.1,13.9,14.1,0,13.77,14.1,13.77,14.0,13.55,1,2.27,6.8,False,True,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-29 14:36:02,"K value 2.2717703869622006 out of range [10, 100]"
