timestamp,open,high,low,close,volume
2025-10-13 09:15:00,225.0,281.8,219.05,241.45,230370
2025-10-13 10:15:00,241.45,250.95,207.35,224.25,134750
2025-10-13 11:15:00,224.25,243.15,216.55,222.2,55895
2025-10-13 12:15:00,222.2,236.0,216.35,218.1,23100
2025-10-13 13:15:00,218.1,225.65,202.5,210.9,40985
2025-10-13 14:15:00,209.75,212.0,184.05,210.3,68635
2025-10-13 15:15:00,211.0,213.0,201.05,202.05,45990
2025-10-14 09:15:00,212.0,245.75,185.55,233.1,169435
2025-10-14 10:15:00,233.1,264.8,210.1,255.75,97160
2025-10-14 11:15:00,255.75,305.0,254.25,301.0,166635
2025-10-14 12:15:00,301.0,313.0,283.35,296.4,95305
2025-10-14 13:15:00,296.4,306.0,254.4,260.2,62685
2025-10-14 14:15:00,260.2,266.4,215.6,230.95,94500
2025-10-14 15:15:00,230.95,249.2,228.3,244.5,28175
2025-10-15 09:15:00,220.05,220.05,162.85,163.7,175735
2025-10-15 10:15:00,163.7,163.7,139.4,148.35,118650
2025-10-15 11:15:00,148.35,150.95,143.55,148.9,30310
2025-10-15 12:15:00,148.9,154.5,132.55,137.9,49805
2025-10-15 13:15:00,137.15,144.3,129.4,143.0,41755
2025-10-15 14:15:00,143.0,153.8,135.25,146.8,306250
2025-10-15 15:15:00,147.15,149.45,144.85,145.0,45465
2025-10-16 09:15:00,113.45,120.45,100.0,118.5,649966940
2025-10-16 10:15:00,118.5,119.45,103.2,107.7,1130267775
2025-10-16 11:15:00,107.7,109.75,102.3,102.6,1028916665
2025-10-16 12:15:00,102.6,102.6,93.25,94.0,1602974380
2025-10-16 13:15:00,93.9,95.2,86.85,91.0,1513901200
2025-10-16 14:15:00,91.0,96.15,89.4,91.45,1890967505
