timestamp,open,high,low,close,volume
2025-07-28 09:15:00,17.95,18.95,14.7,14.7,14805
2025-07-28 09:16:00,14.8,15.5,14.4,15.4,18550
2025-07-28 09:17:00,15.45,16.85,15.45,16.7,14945
2025-07-28 09:18:00,16.7,17.65,16.0,16.0,8015
2025-07-28 09:19:00,16.0,18.6,16.0,18.05,8680
2025-07-28 09:20:00,18.05,18.4,17.3,17.85,12670
2025-07-28 09:21:00,17.85,18.2,16.6,16.85,9590
2025-07-28 09:22:00,16.85,17.7,16.25,17.7,4865
2025-07-28 09:23:00,17.7,18.25,17.25,17.75,10955
2025-07-28 09:24:00,17.75,18.15,17.3,17.55,4340
2025-07-28 09:25:00,17.55,17.95,16.8,17.45,9555
2025-07-28 09:26:00,17.45,17.55,16.85,17.5,6580
2025-07-28 09:27:00,17.5,17.65,17.0,17.15,7770
2025-07-28 09:28:00,17.15,17.3,16.65,16.95,4095
2025-07-28 09:29:00,16.95,18.0,16.95,17.8,2240
2025-07-28 09:30:00,17.8,18.15,17.55,18.05,6335
2025-07-28 09:31:00,18.05,19.9,18.05,19.8,11130
2025-07-28 09:32:00,20.0,20.7,19.95,20.5,9590
2025-07-28 09:33:00,20.5,21.5,20.2,21.4,9625
2025-07-28 09:34:00,21.4,23.8,21.4,22.85,10150
2025-07-28 09:35:00,22.75,23.05,21.0,21.45,10080
2025-07-28 09:36:00,21.45,21.8,20.95,21.65,5110
2025-07-28 09:37:00,21.65,21.8,20.0,20.7,5425
2025-07-28 09:38:00,20.7,20.85,19.5,19.6,5600
2025-07-28 09:39:00,19.6,19.6,18.85,18.85,5565
2025-07-28 09:40:00,18.85,19.2,18.1,18.15,5355
2025-07-28 09:41:00,18.15,18.15,17.2,18.0,5565
2025-07-28 09:42:00,18.0,19.0,18.0,18.65,4795
2025-07-28 09:43:00,18.65,18.9,17.65,17.65,7875
2025-07-28 09:44:00,17.65,17.95,17.3,17.3,4690
2025-07-28 09:45:00,17.3,18.1,17.0,17.55,7280
2025-07-28 09:46:00,17.55,18.0,17.2,17.25,3150
2025-07-28 09:47:00,17.25,18.5,17.25,18.5,1715
2025-07-28 09:48:00,18.5,19.45,18.5,19.2,4515
2025-07-28 09:49:00,19.2,19.55,18.65,19.35,8610
2025-07-28 09:50:00,19.35,19.35,18.15,18.35,6755
2025-07-28 09:51:00,18.35,19.2,18.25,18.8,5145
2025-07-28 09:52:00,18.8,18.8,17.85,18.3,6615
2025-07-28 09:53:00,18.3,19.3,18.3,18.8,4130
2025-07-28 09:54:00,18.8,18.8,18.3,18.65,4690
2025-07-28 09:55:00,18.65,19.15,18.05,18.05,3465
2025-07-28 09:56:00,18.05,18.35,17.8,18.3,6125
2025-07-28 09:57:00,18.3,18.45,17.9,18.05,1435
2025-07-28 09:58:00,18.05,18.05,17.35,17.85,5355
2025-07-28 09:59:00,17.85,17.9,17.2,17.2,5775
2025-07-28 10:00:00,17.2,17.9,17.2,17.3,2450
2025-07-28 10:01:00,17.3,17.75,17.05,17.55,2660
2025-07-28 10:02:00,17.55,17.75,17.4,17.7,3325
2025-07-28 10:03:00,17.7,17.7,16.85,17.15,1400
2025-07-28 10:04:00,17.15,17.7,17.15,17.7,665
2025-07-28 10:05:00,17.7,18.0,17.45,17.45,3430
2025-07-28 10:06:00,17.45,18.1,17.45,18.05,1120
2025-07-28 10:07:00,18.05,18.7,18.05,18.3,3255
2025-07-28 10:08:00,18.3,18.55,18.05,18.55,2100
2025-07-28 10:09:00,18.65,19.0,18.3,18.75,3045
2025-07-28 10:10:00,18.75,19.0,18.45,18.5,1295
2025-07-28 10:11:00,18.5,18.7,18.25,18.55,2205
2025-07-28 10:12:00,18.55,19.35,18.5,18.85,1575
2025-07-28 10:13:00,18.85,19.1,18.65,19.05,5110
2025-07-28 10:14:00,19.05,20.35,19.0,20.2,5600
2025-07-28 10:15:00,20.2,22.75,20.2,21.8,16415
2025-07-28 10:16:00,21.8,22.65,21.55,22.65,6615
2025-07-28 10:17:00,22.65,22.65,21.35,21.45,4025
2025-07-28 10:18:00,21.45,22.05,21.4,21.7,4305
2025-07-28 10:19:00,21.7,22.55,21.45,21.55,1750
2025-07-28 10:20:00,21.55,23.05,21.55,22.5,3535
2025-07-28 10:21:00,22.5,24.1,22.35,23.75,4690
2025-07-28 10:22:00,23.5,23.5,21.35,21.95,11270
2025-07-28 10:23:00,21.95,22.15,21.65,21.75,5075
2025-07-28 10:24:00,21.75,23.25,21.75,22.45,5705
2025-07-28 10:25:00,22.45,22.45,21.5,22.1,6825
2025-07-28 10:26:00,22.1,22.2,21.55,21.55,1260
2025-07-28 10:27:00,21.55,21.55,20.8,21.55,2240
2025-07-28 10:28:00,21.55,21.7,21.1,21.4,910
2025-07-28 10:29:00,21.4,21.65,20.9,21.05,1540
2025-07-28 10:30:00,21.05,22.3,21.05,21.8,4480
2025-07-28 10:31:00,21.8,21.9,21.0,21.0,3395
2025-07-28 10:32:00,21.0,21.0,19.35,19.6,5180
2025-07-28 10:33:00,19.6,19.7,19.2,19.3,5075
2025-07-28 10:34:00,19.3,19.55,18.6,18.9,10430
2025-07-28 10:35:00,18.9,18.95,18.6,18.8,3850
