timestamp,open,high,low,close,volume
2025-10-13 09:15:00,48.2,48.4,40.5,44.1,15200
2025-10-13 09:30:00,44.1,45.0,40.6,44.95,29925
2025-10-13 09:45:00,44.95,46.0,43.95,45.8,9500
2025-10-13 10:00:00,45.8,50.6,44.95,50.6,10450
2025-10-13 10:15:00,50.6,50.6,48.75,49.4,6175
2025-10-13 10:30:00,49.95,51.8,49.15,51.25,10925
2025-10-13 10:45:00,51.25,54.0,51.0,53.5,49400
2025-10-13 11:00:00,54.75,65.4,54.75,63.3,30875
2025-10-13 11:15:00,63.3,63.3,59.5,59.5,1900
2025-10-13 11:30:00,59.5,60.8,59.0,59.5,4750
2025-10-13 11:45:00,59.5,61.7,59.45,61.7,3325
2025-10-13 12:00:00,61.7,61.7,60.2,60.2,950
2025-10-13 12:15:00,60.2,62.95,60.2,61.0,6650
2025-10-13 12:30:00,61.0,61.5,61.0,61.5,1425
2025-10-13 12:45:00,61.5,70.05,61.5,66.05,23750
2025-10-13 13:00:00,66.05,66.05,61.65,63.9,19950
2025-10-13 13:15:00,63.9,64.15,61.8,61.9,5225
2025-10-13 13:30:00,61.9,64.5,61.8,63.3,9025
2025-10-13 13:45:00,63.3,64.25,63.3,64.25,1900
2025-10-13 14:00:00,64.25,65.95,64.25,65.95,3325
2025-10-13 14:15:00,65.95,72.7,64.9,72.7,17575
2025-10-13 14:30:00,72.7,72.7,70.05,70.05,1425
2025-10-13 14:45:00,70.05,71.25,70.05,71.0,2850
2025-10-13 15:00:00,71.0,71.0,68.8,68.8,475
2025-10-13 15:15:00,68.8,70.0,68.1,68.1,6175
