timestamp,open,high,low,close,volume
2025-10-13 09:15:00,26.45,26.45,22.0,22.7,25175
2025-10-13 09:16:00,22.7,22.7,19.6,19.95,15675
2025-10-13 09:17:00,19.95,23.05,19.6,23.05,25175
2025-10-13 09:18:00,23.05,23.5,22.55,23.05,75050
2025-10-13 09:19:00,23.05,23.2,22.5,22.8,19950
2025-10-13 09:20:00,22.8,22.8,22.25,22.25,5225
2025-10-13 09:21:00,22.25,22.35,21.85,22.05,8075
2025-10-13 09:22:00,22.05,23.2,21.8,22.95,16150
2025-10-13 09:23:00,22.95,23.45,22.7,22.8,3325
2025-10-13 09:24:00,22.65,22.65,21.95,22.65,11875
2025-10-13 09:25:00,22.65,22.7,22.05,22.05,11400
2025-10-13 09:26:00,22.05,22.05,21.4,22.0,10450
2025-10-13 09:27:00,22.0,22.8,22.0,22.8,1900
2025-10-13 09:28:00,22.8,23.1,22.3,22.3,24700
2025-10-13 09:29:00,22.3,22.3,21.8,22.1,2850
2025-10-13 09:30:00,22.1,22.1,21.0,21.0,20425
2025-10-13 09:31:00,21.0,21.0,20.05,20.6,14250
2025-10-13 09:32:00,20.6,21.35,20.55,21.35,2375
2025-10-13 09:33:00,21.35,21.5,21.25,21.25,8075
2025-10-13 09:34:00,21.3,21.4,20.85,21.4,7125
2025-10-13 09:35:00,21.65,21.65,21.3,21.45,4275
2025-10-13 09:36:00,21.5,21.5,21.3,21.3,6650
2025-10-13 09:37:00,21.3,21.85,21.3,21.75,19000
2025-10-13 09:38:00,21.55,22.3,21.55,22.2,6650
2025-10-13 09:39:00,22.2,22.4,21.95,22.4,3325
2025-10-13 09:40:00,22.4,23.15,22.25,23.0,7600
2025-10-13 09:41:00,23.0,23.45,22.45,22.65,7125
2025-10-13 09:42:00,22.65,22.9,22.45,22.45,8550
2025-10-13 09:43:00,22.45,22.45,21.45,21.85,10450
2025-10-13 09:44:00,21.85,21.85,21.6,21.6,2375
2025-10-13 09:45:00,21.6,22.5,21.6,22.5,3800
2025-10-13 09:46:00,22.5,23.5,22.5,23.05,19475
2025-10-13 09:47:00,23.05,23.1,23.05,23.1,10450
2025-10-13 09:48:00,23.1,23.1,23.1,23.1,475
2025-10-13 09:49:00,23.65,24.0,23.6,24.0,11875
2025-10-13 09:50:00,24.0,24.0,23.1,23.1,41325
2025-10-13 09:51:00,23.1,23.45,23.05,23.45,3800
2025-10-13 09:52:00,23.45,23.85,23.2,23.2,1900
2025-10-13 09:53:00,23.2,23.2,22.65,22.65,5225
2025-10-13 09:54:00,22.65,22.85,22.65,22.85,1900
2025-10-13 09:55:00,22.85,23.1,22.85,23.05,2375
2025-10-13 09:56:00,23.05,23.8,23.05,23.5,7125
2025-10-13 09:57:00,23.5,23.5,23.05,23.25,3325
